SCHNAME	N_PUPILS	KS1	KS2	P_SEN
Sir John Cass's Foundation Primary School	233	15.6	32.3	17
Argyle Primary School	413	14.6	28.6	32
Beckford Primary School	448	13.2	28.9	21
Brecknock Primary School	341	13.5	29.4	17
Brookfield Primary School	430	16.4	31.0	15
Carlton Primary School	392	12.7	28.6	34
Christ Church Primary School, Hampstead	185	18.8	33.7	25
Christ Church School	230	14.3	27.8	30
Christopher Hatton Primary School	238	14.3	29.9	27
Edith Neville Primary School	261	12.2	26.4	40
Eleanor Palmer Primary School	236	16.8	31.4	6
Emmanuel Church of England Primary School	161	17.7	32.1	0
Fitzjohn's Primary School	231	15.8	29.7	15
Fleet Primary School	227	16.1	31.1	4
Gospel Oak Primary School	467	13.9	28.4	21
Hampstead Parochial Church of England Primary School	203	16.8	30.8	15
Holy Trinity and Saint Silas CofE Primary School, NW1	206	15.7	31.6	27
Holy Trinity CofE Primary School, NW3	186	14.2	28.3	16
Kentish Town Church of England Primary School	273	14.4	28.1	29
Kingsgate Primary School	476	14.7	30.1	24
Netley Primary School	419	13.8	27.8	37
New End Primary School	437	15.4	30.6	18
Our Lady Roman Catholic Primary School	189	13.7	28.7	36
Primrose Hill School	481	15.9	29.4	26
Rhyl Primary School	443	13.2	27.9	11
Richard Cobden Primary School	458	12.9	29.0	50
Rosary Roman Catholic Primary School	336	13.7	28.0	34
St Alban's Church of England Primary School	198	14.7	28.7	34
St Aloysius Roman Catholic Junior School	220	13.9	27.6	28
St Dominic Catholic Primary School	300	15.0	28.9	21
St Eugene de Mazenod Roman Catholic Primary School	209	13.6	29.7	22
St George the Martyr Church of England Primary School	207	14.6	30.6	27
St Josephs Primary School	213	14.6	31.6	19
St Mary and St Pancras Church of England Primary School	233	16.3	28.7	8
St Mary's Kilburn Church of England Primary School	223	15.3	27.9	32
St Michael's Church of England Primary School	232	13.2	25.9	24
St Patrick's Catholic Primary School	233	15.0	31.1	24
St Paul's Church of England Primary School	205	17.0	31.3	8
Torriano Junior School	237	15.3	30.2	25
Alderwood Primary School	249	14.9	28.2	26
Alexander McLeod Primary School	570	14.1	28.0	34
Bannockburn Primary School	602	13.3	30.7	49
Bishop John Robinson Church of England Primary School	230	16.3	28.7	14
Boxgrove Primary School	413	14.8	30.4	27
Brooklands Primary School	256	17.8	31.6	10
Cardwell Primary School	475	15.1	31.5	38
Charlton Manor Primary School	477	14.6	28.8	13
Cherry Orchard Primary School	237	14.4	31.7	34
